ABL,deletreo
AC,deletreo
ACB,deletreo
ACL,deletreo
ACNUR,acronimo
ACPI,deletreo
ADO,acronimo
ADSL,deletreo
ADW,deletreo
AFA,acronimo
AFIP,acronimo
AFJP,deletreo
AGP,deletreo
AI,acronimo
AJAX,acronimo
ALCA,acronimo
ALCO,acronimo
ALUAR,acronimo
AM,deletreo
AMA,acronimo
AMD,deletreo
AMI,acronimo
AMIA,acronimo
AMIPCI,acronimo
AML,deletreo
ANMAT,acronimo
ANSES,acronimo
ANSI,acronimo
API,acronimo
APIC,acronimo
APM,deletreo
APOP,acronimo
APTRA,acronimo
ARBA,acronimo
ARN,deletreo
ARP,deletreo
ART,deletreo
ARTEAR,acronimo
ASA,acronimo
ASC,deletreo
ASL,deletreo
ASMAC,acronimo
ASP,deletreo
ASPI,deletreo
AT,deletreo
ATA,acronimo
ATAPI,acronimo
ATC,deletreo
ATE,deletreo
ATM,deletreo
ATP,deletreo
ATT,deletreo
AVE,acronimo
BANDAN,acronimo
BANELCO,acronimo
BBC,deletreo
BC,deletreo
BCD,deletreo
BDE,deletreo
BID,acronimo
BIOS,acronimo
BM,deletreo
BMP,deletreo
BMW,deletreo
BS,deletreo
BSA,deletreo
BSC,deletreo
BSD,deletreo
BULMA,acronimo
CABA,acronimo
CAD,acronimo
CAM,acronimo
CBC,deletreo
CBU,deletreo
CCOO,deletreo
CD,deletreo
CDDB,deletreo
CEAMSE,acronimo
CECEN,acronimo
CEIP,deletreo
CEMAEPA,acronimo
CET,deletreo
CETI,acronimo
CGA,deletreo
CGI,deletreo
CGT,deletreo
CHA,acronimo
CHAP,acronimo
CIA,acronimo
CIFS,deletreo
CISC,deletreo
CLIBA,acronimo
CLIP,acronimo
CNDH,deletreo
CNN,deletreo
CODEP,acronimo
COFF,acronimo
COM,acronimo
COMFER,acronimo
CONADEP,acronimo
CONADUH,acronimo
CONEAU,acronimo
CONICET,acronimo
CPI,deletreo
CPU,deletreo
CRA,deletreo
CRM,deletreo
CSS,deletreo
CTA,deletreo
CTI,deletreo
CTS,deletreo
CUIL,acronimo
CUIT,acronimo
CV,deletreo
CVS,deletreo
DAO,acronimo
DB,deletreo
DBA,deletreo
DC,deletreo
DDI,deletreo
DEA,acronimo
DF,deletreo
DGA,deletreo
DGI,deletreo
DGIM,deletreo
DGT,deletreo
DHCP,deletreo
DIN,acronimo
DLL,deletreo
DM,deletreo
DNI,deletreo
DNPDP,deletreo
DNS,deletreo
DOC,acronimo
DOS,acronimo
DOSUBA,acronimo
DPI,deletreo
DRI,deletreo
DT,deletreo
DTD,deletreo
DVD,deletreo
DVI,deletreo
DYA,deletreo
EBCDIC,deletreo
ECG,deletreo
EDELAP,acronimo
EDI,acronimo
EGB,deletreo
EIDE,deletreo
EMBA,acronimo
ENARGAS,acronimo
ENESA,acronimo
EPCOT,acronimo
ERP,deletreo
ESA,acronimo
ESBA,acronimo
ESMA,acronimo
ESO,acronimo
ETA,acronimo
ETSAM,acronimo
EUDEBA,acronimo
EURIBOR,acronimo
FAQ,acronimo
FAT,acronimo
FBI,deletreo
FDA,deletreo
FDDI,deletreo
FDMA,deletreo
FEDA,acronimo
FEM,acronimo
FFT,deletreo
FIA,acronimo
FICH,deletreo
FIFA,acronimo
FIFO,acronimo
FIPS,acronimo
FLOSS,deletreo
FM,deletreo
FMF,deletreo
FMI,deletreo
FONAVI,acronimo
FPGA,deletreo
FPU,deletreo
FQDN,deletreo
FREPASO,acronimo
FSB,deletreo
FSF,deletreo
FTP,deletreo
GATT,acronimo
GEO,acronimo
GESTAPO,acronimo
GIF,acronimo
GIS,acronimo
GML,deletreo
GMT,deletreo
GNC,deletreo
GNU,deletreo
GPL,deletreo
GPS,deletreo
GREP,acronimo
GTZ,deletreo
GUI,acronimo
GULIC,acronimo
HBO,deletreo
HCL,deletreo
HIV,deletreo
HP,deletreo
HPV,deletreo
HTML,deletreo
HTTP,deletreo
HW,deletreo
IAE,acronimo
IAFE,acronimo
IANA,acronimo
IATA,acronimo
IBM,deletreo
ICMP,deletreo
ICQ,deletreo
IDAPI,acronimo
IDE,acronimo
IEEE,acronimo
IES,acronimo
IETF,deletreo
IFNA,acronimo
ILO,acronimo
ILSE,acronimo
IMDB,deletreo
IMF,deletreo
INADI,acronimo
INCA,acronimo
INCUCAI,acronimo
INDEC,acronimo
INEF,acronimo
INSSJP,deletreo
INTA,acronimo
INTERNET,acronimo
INTERPOL,acronimo
INTI,acronimo
INVAP,acronimo
IOMA,acronimo
IP,deletreo
IPA,acronimo
IPC,deletreo
IPN,deletreo
IPS,deletreo
IRAM,acronimo
IRC,deletreo
IRQ,deletreo
ISA,acronimo
ISDN,deletreo
ISER,acronimo
ISO,acronimo
ISSB,deletreo
ISWIM,deletreo
ITBA,acronimo
ITESM,deletreo
IUTIRLA,deletreo
IVA,acronimo
JPG,deletreo
KADS,acronimo
KB,deletreo
KDE,deletreo
KGB,deletreo
KM,deletreo
LALCEC,acronimo
LAN,acronimo
LASER,acronimo
LCD,deletreo
LFS,deletreo
LIRC,deletreo
LOGSE,acronimo
LSB,deletreo
LSD,deletreo
MALBA,acronimo
MANLIBA,acronimo
MCP,deletreo
MERCOSUR,acronimo
MERVAL,acronimo
MIDI,acronimo
MIME,acronimo
MIT,acronimo
MNG,deletreo
MRI,deletreo
MTD,deletreo
NAPALM,acronimo
NASA,acronimo
NASCAR,acronimo
NASDAQ,acronimo
NAT,acronimo
NBA,deletreo
NCP,deletreo
NFS,deletreo
NIS,acronimo
NN,deletreo
NTFS,deletreo
NTP,deletreo
NUMA,acronimo
OCA,acronimo
OCLACC,deletreo
OCR,deletreo
OEM,acronimo
OGC,deletreo
OIT,acronimo
OLE,acronimo
OMC,deletreo
OMS,deletreo
ONG,deletreo
ONU,acronimo
OOP,deletreo
OPS,deletreo
OS,deletreo
OSDE,acronimo
OSECAC,acronimo
OSI,acronimo
OSPE,acronimo
OTAN,acronimo
OVNI,acronimo
PAHO,acronimo
PAMI,acronimo
PBI,deletreo
PC,deletreo
PCI,deletreo
PCMCIA,deletreo
PCR,deletreo
PDA,deletreo
PDF,deletreo
PFA,deletreo
PGP,deletreo
PHP,deletreo
PIN,acronimo
PINGA,acronimo
PJ,deletreo
PM,deletreo
PNG,deletreo
PO,acronimo
POSIX,deletreo
PPT,deletreo
PUC,acronimo
PUCV,deletreo
PUJ,acronimo
PUK,acronimo
PVC,deletreo
PYME,acronimo
RAD,acronimo
RADAR,acronimo
RAE,acronimo
RAM,acronimo
RARP,deletreo
RAS,acronimo
RDO,deletreo
RDSI,deletreo
RENFE,acronimo
RFC,deletreo
RGB,deletreo
RIAA,acronimo
RIP,acronimo
RISC,acronimo
RLE,deletreo
ROM,acronimo
RPM,deletreo
RSS,deletreo
RWM,deletreo
SADAIC,acronimo
SAME,acronimo
SD,deletreo
SDK,deletreo
SEGBA,acronimo
SFC,deletreo
SGAE,deletreo
SIDA,acronimo
SIDE,acronimo
SIMM,acronimo
SMB,deletreo
SMC,deletreo
SMN,deletreo
SMS,deletreo
SMTP,deletreo
SNMP,deletreo
SOS,deletreo
SQL,deletreo
SRL,deletreo
SS,deletreo
SSI,deletreo
SSL,deletreo
SUME,acronimo
SUTER,acronimo
SVG,deletreo
SWF,deletreo
TAE,acronimo
TANDAR,acronimo
TBA,deletreo
TC,deletreo
TCP,deletreo
TELNET,acronimo
TFT,deletreo
TFTP,deletreo
TIFF,acronimo
TIM,deletreo
TIR,acronimo
TMB,deletreo
TMR,deletreo
TN,deletreo
TNT,deletreo
UA,acronimo
UAB,acronimo
UABC,deletreo
UADE,acronimo
UAG,acronimo
UAG ,acronimo
UAM,acronimo
UART,acronimo
UASD,deletreo
UAT,acronimo
UBA,acronimo
UBV,deletreo
UC,deletreo
UCA,acronimo
UCAM,acronimo
UCLM,deletreo
UCM,deletreo
UCO,acronimo
UCR,deletreo
UCV,deletreo
UDG,deletreo
UDI,deletreo
UDO,deletreo
UDP,deletreo
UE,acronimo
UEA,acronimo
UFLO,acronimo
UFM,deletreo
UGT,deletreo
UHB,deletreo
UHF,deletreo
UICN,deletreo
UID,acronimo
ULA,deletreo
ULL,deletreo
ULPGC,deletreo
UMA,acronimo
UMCE,acronimo
UML,deletreo
UMU,deletreo
UNA,acronimo
UNAH,deletreo
UNAL,acronimo
UNAM,acronimo
UNCU,acronimo
UNESCO,acronimo
UNICEF,acronimo
UNL,deletreo
UNMSM,deletreo
UNQUI,acronimo
UNSAM,acronimo
UOCRA,acronimo
UOM,acronimo
UP,deletreo
UPB,deletreo
UPC,deletreo
UPCN,deletreo
UPM,deletreo
UPN,deletreo
UPX,deletreo
URI,acronimo
URL,deletreo
URN,deletreo
US,deletreo
USAL,acronimo
USART,acronimo
USB,deletreo
USC,deletreo
UTC,deletreo
UTN,deletreo
UV,deletreo
UVIGO,acronimo
VBA,deletreo
VCC,deletreo
VESA,acronimo
VGA,deletreo
VHF,deletreo
VHS,deletreo
VIP,acronimo
VIRUS,acronimo
VPN,deletreo
WAI,acronimo
WAN,acronimo
WAP,acronimo
WCG,deletreo
WHO,deletreo
WORM,acronimo
WSDL,deletreo
WWE,deletreo
WWW,deletreo
XGA,deletreo
XHTML,deletreo
XL,deletreo
XML,deletreo
XP,deletreo
XSD,deletreo
XSL,deletreo
XSLT,deletreo
XXL,deletreo
YPF,deletreo
